Source,Target,Weight,Type
AE Larisa,Radnicki Nis,2,Directed
AE Larisa,Wanderers,2,Directed
AEK Athens,Akhmat Grozny,2,Directed
AEK Athens,Celta de Vigo,2,Directed
AEK Athens,Eintracht Frankfurt,2,Directed
AEK Athens,RSC Anderlecht,2,Directed
AEK Athens,Rubin Kazan,2,Directed
AEK Athens,UD Las Palmas,2,Directed
AFC Bournemouth,Bristol City,2,Directed
AFC Bournemouth,Liverpool FC,2,Directed
AFC Bournemouth,Norwich,2,Directed
AFC Bournemouth,Southampton FC,2,Directed
AFC Bournemouth,West Ham United,2,Directed
AJ Auxerre,Girondins de Bordeaux,2,Directed
AS Monaco,Atlético Madrid,2,Directed
AS Monaco,Chelsea FC,2,Directed
AS Monaco,Montpellier HSC,2,Directed
AS Roma,AC Fiorentina,2,Directed
AS Roma,Dallas,2,Directed
AS Roma,FC Barcelona,2,Directed
AS Roma,Hellas Verona,2,Directed
AS Roma,Juventus,2,Directed
AS Saint-Étienne,Angers SCO,2,Directed
AZ Alkmaar,Go Ahead Eagles,2,Directed
AZ Alkmaar,Nagoya Grampus,2,Directed
AZ Alkmaar,Stoke City,2,Directed
Adana Demirspor,Bregalnica Stip,2,Directed
Adana Demirspor,Fatih Karagümrük,2,Directed
Adana Demirspor,Malatyaspor,2,Directed
Adana Demirspor,Olympiacos,2,Directed
Adana Demirspor,SH Port,2,Directed
Ajax,América,2,Directed
Ajax,RB Leipzig,2,Directed
Akhmat Grozny,Cukaricki,2,Directed
Akhmat Grozny,Dynamo Moscow,2,Directed
Akhmat Grozny,Krasnodar,2,Directed
Akhmat Grozny,RB Salzburg,2,Directed
Alanyaspor,Eyüpspor,2,Directed
Altay SK,Grêmio,2,Directed
Amiens SC,Bologna FC 1909,2,Directed
Amiens SC,Palermo,2,Directed
Angers SCO,AC Le Havre,2,Directed
Angers SCO,Clermont Foot,2,Directed
Angers SCO,FC Lorient,2,Directed
Angers SCO,FC Metz,2,Directed
Angers SCO,Southampton FC,2,Directed
Angers SCO,Stade Rennais FC,2,Directed
Antalyaspor,Akhisarspor,2,Directed
Antalyaspor,SönderjyskE,2,Directed
Antalyaspor,Werder Bremen,2,Directed
Apollon Smyrnis,AO Xanthi,2,Directed
Apollon Smyrnis,PAS Giannina,2,Directed
Apollon Smyrnis,Panionios,2,Directed
Apollon Smyrnis,Volos FC,2,Directed
Aris Thessaloniki,Nottingham Forest,2,Directed
Aris Thessaloniki,Real Betis,2,Directed
Aris Thessaloniki,Sporting CP,2,Directed
Aris Thessaloniki,Stoke City,2,Directed
Aris Thessaloniki,Sturm Graz,2,Directed
Aris Thessaloniki,Watford,2,Directed
Arminia Bielefeld,RB Salzburg,2,Directed
Arsenal,Flamengo,2,Directed
Arsenal,LOSC Lille,2,Directed
Arsenal,Manchester City,2,Directed
Arsenal,Southampton FC,2,Directed
Arsenal Tula,Lokomotiv Moscow,2,Directed
Arsenal Tula,Soligorsk,2,Directed
